product_model,product_name,product_price
rincipale..,MASINA DE MATURAT - ASPIRAT KM 105/100 R D+KSSB,
rea rolei..,MASINA DE MATURAT - ASPIRAT KM 105/110 R D+KSSB,
,MASINA DE MATURAT - ASPIRAT KM 105/110 R LPG+KSSB,
rea rolei..,MASINA DE MATURAT - ASPIRAT KM 105/110 R D,
:1.576-101.,Aspirator industrial IVC 60/30 Tact²,
optionala..,MASINA DE MATURAT - ASPIRAT KM 125/130 Bp+2SB+KSSB,
"laterala,..",MASINA DE MATURAT - ASPIRAT KM 125/130 Bp + KSSB,
i golirea..,MASINA DE MATURAT - ASPIRAT KM 125/130 R D+KSSB,
 1.351-126.,MASINA DE MATURAT - ASPIRAT KM 85/50 R Bp,
 1.161-071.,MASINA DE FRECAT ASPIRAT B 70 R Bp Pack Classic,
torului.l..,MASINA DE FRECAT ASPIRAT B 150 R + R 90,
atorului...,MASINA DE FRECAT ASPIRAT B 150 R + D 90,
 1.286-923.,Aparat de curatat cu inalta presiune HD 10/23-4s Plus,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 105/100 R Bp Pack+KSSB,
rea rolei..,MASINA DE MATURAT - ASPIRAT KM 105/110 R G+KSSB,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp+KSSB,
:1.574-104.,Aparat de curatare cu gheata carbonica IB 15/120,
e care au..,MASINA DE MATURAT - ASPIRAT KM 125/130 Bp Pack 400Ah...,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp Pack+KSSB,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 125/130 R G+KSSB,
 1.812-000.,Aparat de curatat cu presiune foarte ridicata Hd 9/100,
nevoie de..,MASINA DE MATURAT - ASPIRAT KM 125/130 R Lpg+KSSB,
eplineste..,Masina de maturat - aspirat KM 120/150 R G,
:1.442-220.,MIC 50,
:1.442-212.,Autoutilitare MIC 26C,
:1.186-122.,Masina de maturat - aspirat KM 130/300 R Bp,
:1.186-120.,Masina de maturat - aspirat KM 130/300 R D,
:1.186-139.,Masina de maturat - aspirat KM 130/300 R D CLASSIC,
mise atât..,MASINA DE MATURAT - ASPIRAT KM 130/300 R Lpg,
"curatare,..",Utilaj de produs gheata carbonica IP 55,
R Bp Pack..,Masina de maturat - aspirat KM 120/150 R Bp Pack,
:1.442-202.,Masina de maturat - aspirat MC 50 versiunea Advanced Comfort,
:1.186-129.,Masina de maturat - aspirat KM 130/300 R Bp Pack,
:1.442-210.,Autoutilitara MIC 34C,
:1.186-125.,Masina de maturat - aspirat KM 150/500 R Bp,
:1.186-124.,Masina de maturat - aspirat KM 150/500 R D,
:1.442-230.,Masina de maturat - aspirat MC 130,
:1.186-127.,Masina de maturat - aspirat KM 170/600 R D,
:1.186-130.,Masina de maturat - aspirat KM 150/500 R Bp Pack,
"curatare,..",Utilaj de produs gheata carbonica IP 120,
:1.186-126.,Masina de maturat - aspirat KM 150/500 D 4W,
:1.186-128.,Masina de maturat - aspirat KM 170/600 R Lpg,
"curatare,..",Utilaj de produs gheata carbonica IP 220,
 1.534-003.,CB 3 -spalatorie auto,
 1.011-027.,ASPIRATOR CU PERI PENTRU COVOR CV 60/2 RS,
 1.127-032.,MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp Pack 115Ah,
 1.127-013.,MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp,
 1.070-003.,Aspirator tip self service SB VC,
acesta in..,TB 42- spalatorie auto pentru camioane,
 1.071-912.,Curatitor cu apa sub presiune HDS 10/20-4 MX,
 1.286-927.,Aparat de curatat cu inalta presiune HD 10/25-4 SX Plus,
 1.071-914.,Curatitor cu apa sub presiune HDS 12/18-4 S,
 1.071-900.,Curatitor cu apa sub presiune HDS 10/20-4 M,
:1.077-918.,Curatitor cu apa sub presiune HDS 9/18-4 MX,
 1.077-911.,Curatitor cu apa sub presiune HDS 9/18-4M,
 sunt mai..,Curatitor cu apa sub presiune HDS 13/20-4 SX,
:1.173-904.,Curatitor cu apa sub presiune HDS 7/16 CX,
 1.092-900.,SG G 1Aparat pentru eliminarea gumei de mestecat,
 standard..,IVC 60/30 Ap M Z22,
:1.783-311.,Masina de frecat aspirat BR 40/10C,
 1.783-460.,MASINA DE FRECAT ASPIRAT BR 45/22 C,
 1.353-902.,Aparat de curatat cu presiune HD 10/25-4 Cage Plus,
 1.071-932.,CURATITOR CU APA SUB PRESIUNE HDS 13/20-4 SX,
 1.030-900.,CURATITOR CU APA SUB PRESIUNE HDS-E 8/16-4 M 12 kW,
 1.127-012.,MASINA DE FRECAT ASPIRAT BD 80/100 W Bp Classic,
 1.515-403.,MASINA DE FRECAT ASPIRAT BD 43/25 C Bp Pack,
 1.127-006.,MASINA DE FRECAT ASPIRAT BD 50/50 C Bp Pack Classic,
 1.127-019.,MASINA DE FRECAT ASPIRAT BD 70/75 W Bp Pack Classic,
1.012-585.0,ASPIRATOR CU PERI PENTRU COVOR CV 66/2,
 1.509-501.,Aparate stationare de curatare cu presiune HDC Classic,
 1.783-467.,MASINA DE FRECAT ASPIRAT BR 35/12 C Bp Pack,
:1.515-102.,Masina de frecat aspirat BR 40/25 C Ep,
:1.783-430.,Masina de frecat aspirat BD 38/12 C Bp Pack,
 1.576-102.,Aspirator industrial IVC 60/12-1 Tact EC,
